KRT16P4,ENSG00000229526
KRT16P3,ENSG00000291196
HTR4,ENSG00000164270
KRT16P6,ENSG00000226145
CRHBP,ENSG00000145708
HTR6,ENSG00000158748
HTR7,ENSG00000148680
RNU1-134P,ENSG00000199805
LURAP1L,ENSG00000153714
MARK2P13,ENSG00000228815
BBX,ENSG00000114439
GSTK1,ENSG00000197448
WDR83OS,ENSG00000105583
DHDH,ENSG00000104808
BCR,ENSG00000186716
RNU1-133P,ENSG00000201737
ORAI3,ENSG00000175938
ORAI2,ENSG00000160991
VOPP1,ENSG00000154978
RNU6-653P,ENSG00000199944
CLEC20A,ENSG00000188585
COL13A1,ENSG00000197467
SHMT2,ENSG00000182199
SHMT1,ENSG00000284320
B3GLCT,ENSG00000187676
RDH12,ENSG00000139988
RDH11,ENSG00000072042
RNU1-136P,ENSG00000206908
RDH10,ENSG00000121039
RDH16,ENSG00000139547
SNORA63C,ENSG00000201448
RDH13,ENSG00000160439
SRP72P2,ENSG00000188451
GTF2IRD2B,ENSG00000174428
GSTM4,ENSG00000168765
GSTM3,ENSG00000134202
GSTM2,ENSG00000213366
GSTM1,ENSG00000134184
NEBL,ENSG00000078114
DHFR,ENSG00000228716
PKIB,ENSG00000135549
CYP2G1P,ENSG00000290611
PKIA,ENSG00000171033
STRN,ENSG00000115808
RNU6-522P,ENSG00000201367
PKIG,ENSG00000168734
GSTM5,ENSG00000134201
GTF2H2C,ENSG00000183474
KCNC1,ENSG00000129159
KCNC3,ENSG00000131398
KCNC4,ENSG00000116396
BBC3,ENSG00000105327
GLT1D1,ENSG00000151948
ZNF32-AS2,ENSG00000230565
ZNF32-AS3,ENSG00000223910
NEFH,ENSG00000100285
RNU6-650P,ENSG00000202528
STUM,ENSG00000203685
ZNF32-AS1,ENSG00000226245
MYBPC3,ENSG00000134571
MYBPC1,ENSG00000196091
KCND1,ENSG00000102057
MYBPC2,ENSG00000086967
KCND2,ENSG00000184408
OR5AW1P,ENSG00000229082
GSTO2,ENSG00000065621
KCND3,ENSG00000171385
GSTO1,ENSG00000148834
RPL3P4,ENSG00000232573
RPL3P6,ENSG00000213891
RPL3P7,ENSG00000225093
RPL3P8,ENSG00000232199
RPL3P1,ENSG00000228149
RPL3P2,ENSG00000227939
RPS7P11,ENSG00000213326
RPS7P10,ENSG00000226525
PKN3,ENSG00000160447
GSTP1,ENSG00000084207
SYNPO2,ENSG00000172403
PTAFR,ENSG00000169403
ADAM1B,ENSG00000226469
ADAM22,ENSG00000008277
KCNA4,ENSG00000182255
ADAM21,ENSG00000139985
ADAM20,ENSG00000134007
KCNA7,ENSG00000104848
SDAD1,ENSG00000198301
ADAM29,ENSG00000168594
ADAM28,ENSG00000042980
ADAM23,ENSG00000114948
STX6,ENSG00000135823
STX5,ENSG00000162236
STX4,ENSG00000103496
STX3,ENSG00000166900
BID,ENSG00000015475
STX2,ENSG00000111450
RNU6-652P,ENSG00000202358
RPS7P14,ENSG00000213695
SPDEF,ENSG00000124664
MBD3,ENSG00000071655
MBD4,ENSG00000129071
MBD5,ENSG00000204406
MBD6,ENSG00000166987
PKLR,ENSG00000262785
BIK,ENSG00000100290
KCNB1,ENSG00000158445
MBD1,ENSG00000141644
KCNB2,ENSG00000182674
MBD2,ENSG00000134046
ADAM33,ENSG00000149451
KIAA2012,ENSG00000182329
ADAM32,ENSG00000197140
ADAM30,ENSG00000134249
KIAA2013,ENSG00000116685
PKN2,ENSG00000065243
MITD1,ENSG00000158411
PKN1,ENSG00000123143
KCNG2,ENSG00000178342
KCNG3,ENSG00000171126
KCNG4,ENSG00000168418
RASL11B,ENSG00000128045
FBXO27,ENSG00000161243
FBXO28,ENSG00000143756
RASL11A,ENSG00000122035
FBXO25,ENSG00000147364
GOLIM4,ENSG00000173905
FBXO24,ENSG00000106336
FBXO21,ENSG00000135108
FBXO22,ENSG00000167196
FADS3,ENSG00000221968
FADS2,ENSG00000134824
PTAR1,ENSG00000188647
POFUT2,ENSG00000186866
FNTA,ENSG00000168522
MYBPHL,ENSG00000221986
FADS6,ENSG00000172782
POFUT1,ENSG00000101346
POTEI,ENSG00000196834
POTEJ,ENSG00000222038
TNFRSF8,ENSG00000120949
NEK1,ENSG00000137601
POTEE,ENSG00000188219
NEK2,ENSG00000117650
POTEF,ENSG00000196604
NEK3,ENSG00000136098
POTEG,ENSG00000187537
TNFRSF4,ENSG00000186827
FADS1,ENSG00000149485
KCNH1,ENSG00000143473
KCNH2,ENSG00000055118
PIAS4,ENSG00000105229
PIAS3,ENSG00000131788
KCNH3,ENSG00000135519
KCNH4,ENSG00000089558
DGAT2,ENSG00000062282
KCNH5,ENSG00000140015
